X,Y,OBJECTID,ID,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,NAICSDESCR
-86.2829112031444,36.2032013122103,1,10485400,MCFARLAND HOSPITAL,615-449-0500,500 PARK AVENUE, ,LEBANON,TN,37087,3721,WILSON,47189,LOCATED ON THE NORTHWEST CORNER OF HARDING DR AND PARK AVE,"HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-84.8692028034121,35.1774526046218,2,10485285,SKYRIDGE MEDICAL CENTER - MAIN CAMPUS,423-559-6101,2305 CHAMBLISS AVENUE, ,CLEVELAND,TN,37311,3847,BRADLEY,47011,"LOCATED ON THE NW SIDE OF CHAMBLISS AVE, BETWEEN 23RD ST NE AND 24TH ST NW","HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-86.8021929557015,36.1537473222238,3,10485286,BAPTIST HOSPITAL,615-284-5555,2000 CHURCH STREET, ,NASHVILLE,TN,37236,0001,DAVIDSON,47037,ON THE NORTHWEST CORNER OF CHURCH ST AND 20TH AVE N,"HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-85.1907942942634,35.6214926929121,4,10485257,ERLANGER BLEDSOE HOSPITAL,423-447-2112,71 WHEELERTOWN AVENUE, ,PIKEVILLE,TN,37367, ,BLEDSOE,47007,"LOCATED ON THE NW SIDE OF WHEELERTOWN AVE, BETWEEN NIPPER ST AND MANUFACTURER RD","HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-84.2702559012153,35.8252720977036,5,10485341,FORT LOUDOUN MEDICAL CENTER,865-271-6000,550 FORT LOUDOUN MEDICAL CENTER DRIVE, ,LENOIR CITY,TN,37772, ,LOUDON,47105,LOCATED ON THE NORTHEAST SIDE OF HIGHWAY 321 N APPROXIMATELY .2 MI SOUTHEAST OF NORTHERN MOST INTERSECTION OF TOWN CREEK RD E AND HIGHWAY 321 N,"HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-85.1605399608574,35.0225712775015,6,10485281,ERLANGER HEALTH SYSTEM - WOMENS EAST CAMPUS,423-778-8400,1755 GUNBARREL ROAD, ,CHATTANOOGA,TN,37421,7137,HAMILTON,47065,ON THE W SIDE OF GUNBARREL RD BETWEEN ZIEGLER RD AND CRANE RD,"HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-87.0669763666842,35.6071791716273,7,10485333,MAURY REGIONAL HOSPITAL,931-381-1111,1224 TROTWOOD AVENUE, ,COLUMBIA,TN,38401,4802,MAURY,47119,LOCATED ON THE NORTHWEST SIDE OF TROTWOOD AVE BETWEEN MEDICAL CENTER DR AND BLYTHEWOOD DR,"HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-89.9314905883645,35.0655254507961,8,10485345,DELTA MEDICAL CENTER,901-369-8100,3000 GETWELL ROAD, ,MEMPHIS,TN,38118,2205,SHELBY,47157,ON THE NE CORNER OF KNIGHT ARNOLD RD AND GETWELL RD,"HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-89.7712481292337,35.2066706168778,9,10485240,LAKESIDE BEHAVIORAL HEALTH SYSTEM,901-377-4700,2985 BRUNSWICK ROAD, ,MEMPHIS,TN,38133, ,SHELBY,47157,"ON THE N SIDE OF N BRUNSWICK RD, 0.5 MILE E OF THE INTERSECTION OF NEW BRUNSWICK RD AND N BRUNSWICK RD","HOSPITALS, PSYCHIATRIC (EXCEPT CONVALESCENT)"
-89.0269512700153,35.2774232684706,10,10483988,WESTERN MENTAL HEALTH INSTITUTE,731-228-2000,11100 OLD UNITED STATES HIGHWAY 64, ,BOLIVAR,TN,38008, ,HARDEMAN,47069,"LOCATED ON THE SOUTH SIDE OF OLD US-64, APPX .1 MI SW OF TN-15","HOSPITALS, PSYCHIATRIC (EXCEPT CONVALESCENT)"
-82.7406460907251,36.1844212181348,11,10050706,GREENE VALLEY DEVELOPMENTAL CENTER,423-787-6800,4850 EAST ANDREW JOHNSON HIGHWAY, ,GREENEVILLE,TN,37745,3098,GREENE,47059,.03 MILES SOUTH ON E MAIN ST FROM E ANDREW JOHNSON HWY AND HOSPITAL IS ON THE EAST SIDE OF THE STREET.,MENTAL RETARDATION HOSPITALS
-89.893028765128,35.2341524501848,12,10485393,METHODIST NORTH HOSPITAL,901-516-5200,3960 NEW COVINGTON PIKE, ,MEMPHIS,TN,38128,2504,SHELBY,47157,"ON THE NE SIDE OF NEW COVINGTON PIKE, BETWEEN 0.1 AND 0.2 MILE SE OF THE INTERSECTION OF AUSTIN PEAY HWY AND NEW COVINGTON PIKE","HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-90.01915655374,35.1378586986269,13,10485278,HEALTHSOUTH REHABILITATION HOSPITAL OF MEMPHIS,901-722-2000,1282 UNION AVENUE, ,MEMPHIS,TN,38104,3414,SHELBY,47157,ON THE NW CORNER OF S CLAYBROOK ST AND UNION AVE,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)"
-85.4814021689921,35.9455163219505,14,10485362,WHITE COUNTY COMMUNITY HOSPITAL,931-738-9211,401 SEWELL DRIVE, ,SPARTA,TN,38583,1223,WHITE,47185,"LOCATED LESS THAN .1 MI NORTH OF INTERSECTION OF ROOSEVELT DR AND SEWELL RD, ON THE WEST SIDE OF SEWELL RD","HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-84.463993004983,35.6008428462844,15,10485307,SWEETWATER HOSPITAL ASSOCIATION,865-213-8200,304 WRIGHT STREET, ,SWEETWATER,TN,37874,1181,MONROE,47123,LOCATED ON THE NORTHWEST SIDE OF N HIGH ST BETWEEN WRIGHT ST AND W MORRIS ST,"HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-89.379824198271,36.0477970131421,16,10485284,DYERSBURG REGIONAL MEDICAL CENTER,731-285-2410,400 EAST TICKLE STREET, ,DYERSBURG,TN,38024,3120,DYER,47045,LOCATED IN THE NW CORNER OF E TICKLE ST AND WOODLAWN AVE INTERSECTION,"HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-83.9148170129564,35.9559904666211,17,10485291,BAPTIST HOSPITAL OF EAST TENNESSEE,865-632-5011,137 BLOUNT AVENUE, ,KNOXVILLE,TN,37920,1601,KNOX,47093,"LOCATED ON THE NW SIDE OF E BLOUNT ST, BETWEEN KAY ST AND S GAY ST","HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-88.574264995414,35.1622648433991,18,10485339,MCNAIRY REGIONAL HOSPITAL,731-645-3221,705 EAST POPLAR AVENUE, ,SELMER,TN,38375,1828,MCNAIRY,47109,LOCATED ON THE SOUTH SIDE OF E POPLAR AVE BETWEEN HORNER DR AND OAKGROVE RD,"HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-84.9433294927236,36.4323757895524,19,10485299,JAMESTOWN REGIONAL MEDICAL CENTER,931-752-5762,436 CENTRAL AVENUE WEST, ,JAMESTOWN,TN,38556,3031,FENTRESS,47049,LOCATED IN THE NE CORNER OF N DUNCAN ST AND CENTRAL AVE WEST INTERSECTION,"HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-86.0900880129059,35.175769654745,20,10485371,SOUTHERN TENNESSEE MEDICAL CENTER,931-967-8200,185 HOSPITAL ROAD, ,WINCHESTER,TN,37398,2404,FRANKLIN,47051,LOCATED IN THE NE CORNER OF MEMORIAL DR AND HOSPITAL RD INTERSECTION,"HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-88.8954093037821,35.8156575654983,21,10485301,HUMBOLDT GENERAL HOSPITAL,731-784-2321,3525 CHERE CAROL ROAD, ,HUMBOLDT,TN,38343,3638,GIBSON,47053,ON THE N SIDE OF CHERE CAROL RD BETWEEN E MAIN ST AND US-45W,"HOSPITALS, GENERAL MEDICAL AND SURGICAL"
